,postcode,ruralurban,residents,males,females,household,cmmunal,students,area,densitypersons
1306,CO3  4,Total,6662.0,3169.0,3493.0,6612.0,50.0,120.0,179.94,37.0
1307,CO3  8,Total,828.0,411.0,417.0,828.0,0.0,15.0,391.66,2.1
1308,CO3  9,Total,4944.0,2427.0,2517.0,4944.0,0.0,93.0,524.21,9.4
1309,CO4  0,Total,7230.0,3532.0,3698.0,7173.0,57.0,78.0,225.52,32.1
1310,CO4  3,Total,17987.0,8721.0,9266.0,15448.0,2539.0,188.0,649.57,27.7
1311,CO4  5,Total,14008.0,6945.0,7063.0,13841.0,167.0,193.0,3267.75,4.3
1312,CO4  9,Total,8777.0,4329.0,4448.0,8743.0,34.0,120.0,305.86,28.7
1313,CO5  0,Total,9875.0,4779.0,5096.0,9833.0,42.0,90.0,1038.97,9.5
1314,CO5  7,Total,4506.0,2196.0,2310.0,4439.0,67.0,59.0,4601.28,1.0
1315,CO5  8,Total,7449.0,3540.0,3909.0,7435.0,14.0,95.0,1862.68,4.0
1316,CO5  9,Total,6369.0,3191.0,3178.0,6271.0,98.0,107.0,4682.81,1.4
1317,CO6  1,Total,9693.0,4740.0,4953.0,9606.0,87.0,147.0,4469.8,2.2
1318,CO6  2,Total,6285.0,3063.0,3222.0,6126.0,159.0,120.0,4092.43,1.5
1319,CO6  3,Total,6185.0,3033.0,3152.0,6113.0,72.0,115.0,3699.59,1.7
1320,CO6  4,Total,5879.0,2835.0,3044.0,5763.0,116.0,153.0,5095.36,1.2
1321,CO6  5,Total,851.0,437.0,414.0,844.0,7.0,31.0,1378.65,0.6
1322,CO7  0,Total,8076.0,3937.0,4139.0,7989.0,87.0,75.0,1143.2,7.1
1323,CO7  6,Total,5962.0,2943.0,3019.0,5846.0,116.0,161.0,4837.79,1.2
1324,CO7  7,Total,5487.0,2766.0,2721.0,5387.0,100.0,103.0,5191.44,1.1
1325,CO7  8,Total,5791.0,2854.0,2937.0,5658.0,133.0,87.0,3669.53,1.6
1326,CO7  9,Total,7637.0,3738.0,3899.0,7629.0,8.0,92.0,484.27,15.8
1327,CO8  5,Total,2303.0,1138.0,1165.0,2303.0,0.0,75.0,3384.94,0.7
1328,CO9  1,Total,9398.0,4612.0,4786.0,9235.0,163.0,83.0,3248.87,2.9
1329,CO9  2,Total,6044.0,2942.0,3102.0,5966.0,78.0,83.0,2972.25,2.0
1330,CO9  3,Total,5616.0,2779.0,2837.0,5583.0,33.0,92.0,4144.31,1.4
1331,CO9  4,Total,4202.0,2112.0,2090.0,4199.0,3.0,57.0,5654.61,0.7
1332,CR0  0,Total,18285.0,8465.0,9820.0,18225.0,60.0,128.0,334.61,54.6
1333,CR0  1,Total,8974.0,4620.0,4354.0,8819.0,155.0,57.0,136.7,65.6
1334,CR0  2,Total,19388.0,9720.0,9668.0,19113.0,275.0,148.0,200.72,96.6
1335,CR0  3,Total,18754.0,9178.0,9576.0,18739.0,15.0,172.0,283.98,66.0
1336,CR0  4,Total,16782.0,8088.0,8694.0,16738.0,44.0,188.0,571.98,29.3
1337,CR0  5,Total,10713.0,5278.0,5435.0,10406.0,307.0,187.0,684.0,15.7
1338,CR0  6,Total,21899.0,10870.0,11029.0,21785.0,114.0,205.0,220.04,99.5
1339,CR0  7,Total,16011.0,7720.0,8291.0,15989.0,22.0,222.0,296.6,54.0
1340,CR0  8,Total,12934.0,6105.0,6829.0,12934.0,0.0,262.0,267.41,48.4
1341,CR0  9,Total,10493.0,4899.0,5594.0,10493.0,0.0,114.0,369.57,28.4
1342,CR2  0,Total,10999.0,5425.0,5574.0,10876.0,123.0,240.0,352.13,31.2
1343,CR2  6,Total,10864.0,5300.0,5564.0,10600.0,264.0,85.0,210.78,51.5
1344,CR2  7,Total,8235.0,4109.0,4126.0,8046.0,189.0,126.0,268.08,30.7
1345,CR2  8,Total,11285.0,5385.0,5900.0,11247.0,38.0,193.0,554.69,20.3
1346,CR2  9,Total,7084.0,3414.0,3670.0,7084.0,0.0,109.0,395.88,17.9
1347,CR3  0,Total,4283.0,2137.0,2146.0,4281.0,2.0,30.0,236.97,18.1
1348,CR3  5,Total,12701.0,6149.0,6552.0,12412.0,289.0,207.0,683.93,18.6
1349,CR3  6,Total,9414.0,4603.0,4811.0,9104.0,310.0,181.0,705.38,13.3
1350,CR3  7,Total,2141.0,901.0,1240.0,1864.0,277.0,74.0,1087.3,2.0
1351,CR4  1,Total,17002.0,8250.0,8752.0,16986.0,16.0,204.0,321.09,53.0
1352,CR4  2,Total,13403.0,6770.0,6633.0,13379.0,24.0,132.0,132.06,101.5
1353,CR4  3,Total,18775.0,9080.0,9695.0,18775.0,0.0,179.0,194.67,96.4
1354,CR4  4,Total,9622.0,4737.0,4885.0,9336.0,286.0,108.0,339.0,28.4
1355,CR5  1,Total,10639.0,5135.0,5504.0,10606.0,33.0,160.0,940.58,11.3
1356,CR5  2,Total,9162.0,4475.0,4687.0,9112.0,50.0,162.0,367.04,25.0
1357,CR5  3,Total,9061.0,4435.0,4626.0,8999.0,62.0,181.0,1273.07,7.1
1358,CR6  9,Total,9843.0,4740.0,5103.0,9777.0,66.0,182.0,2139.72,4.6
1359,CR7  6,Total,9048.0,4339.0,4709.0,9028.0,20.0,134.0,95.38,94.9
1360,CR7  7,Total,17686.0,8632.0,9054.0,17504.0,182.0,227.0,165.31,107.0
1361,CR7  8,Total,17957.0,8488.0,9469.0,17886.0,71.0,240.0,194.91,92.1
1362,CR8  1,Total,4855.0,2380.0,2475.0,4833.0,22.0,120.0,164.28,29.6
1363,CR8  2,Total,8289.0,4035.0,4254.0,8032.0,257.0,128.0,201.76,41.1
1364,CR8  3,Total,5004.0,2459.0,2545.0,4830.0,174.0,185.0,267.37,18.7
1365,CR8  4,Total,6090.0,2969.0,3121.0,5992.0,98.0,120.0,170.43,35.7
1366,CR8  5,Total,8307.0,3994.0,4313.0,8081.0,226.0,148.0,452.7,18.3
1367,CT1  1,Total,14531.0,7164.0,7367.0,12841.0,1690.0,195.0,853.16,17.0
1368,CT1  2,Total,4296.0,2064.0,2232.0,3760.0,536.0,49.0,99.88,43.0
1369,CT1  3,Total,11928.0,5743.0,6185.0,11424.0,504.0,219.0,781.43,15.3
1370,CT10 1,Total,7056.0,3423.0,3633.0,6790.0,266.0,116.0,207.66,34.0
1371,CT10 2,Total,10522.0,4893.0,5629.0,10256.0,266.0,145.0,520.22,20.2
1372,CT10 3,Total,7325.0,3471.0,3854.0,7143.0,182.0,85.0,407.93,18.0
1373,CT11 0,Total,7465.0,3598.0,3867.0,7409.0,56.0,75.0,265.36,28.1
1374,CT11 7,Total,9169.0,4434.0,4735.0,8923.0,246.0,72.0,155.37,59.0
1375,CT11 8,Total,5761.0,2790.0,2971.0,5710.0,51.0,53.0,86.53,66.6
1376,CT11 9,Total,6811.0,3404.0,3407.0,6717.0,94.0,65.0,108.18,63.0
1377,CT12 4,Total,3882.0,1885.0,1997.0,3866.0,16.0,48.0,2722.62,1.4
1378,CT12 5,Total,2742.0,1333.0,1409.0,2736.0,6.0,33.0,747.85,3.7
1379,CT12 6,Total,11202.0,5348.0,5854.0,11182.0,20.0,54.0,371.91,30.1
1380,CT13 0,Total,5957.0,2837.0,3120.0,5891.0,66.0,82.0,2314.11,2.6
1381,CT13 9,Total,2944.0,1444.0,1500.0,2889.0,55.0,61.0,1971.6,1.5
1382,CT14 0,Total,2960.0,1445.0,1515.0,2790.0,170.0,43.0,3205.01,0.9
1383,CT14 6,Total,5355.0,2642.0,2713.0,5347.0,8.0,44.0,105.32,50.8
1384,CT14 7,Total,9173.0,4415.0,4758.0,8912.0,261.0,96.0,237.81,38.6
1385,CT14 8,Total,2694.0,1314.0,1380.0,2613.0,81.0,36.0,1277.41,2.1
1386,CT14 9,Total,14874.0,7054.0,7820.0,14682.0,192.0,141.0,529.08,28.1
1387,CT15 4,Total,3706.0,1812.0,1894.0,3693.0,13.0,43.0,2091.79,1.8
1388,CT15 5,Total,3289.0,1722.0,1567.0,2858.0,431.0,61.0,3662.27,0.9
1389,CT15 6,Total,2499.0,1208.0,1291.0,2491.0,8.0,39.0,1303.18,1.9
1390,CT15 7,Total,3744.0,1833.0,1911.0,3673.0,71.0,48.0,3983.95,0.9
1391,CT16 1,Total,3447.0,1772.0,1675.0,3349.0,98.0,28.0,188.04,18.3
1392,CT16 2,Total,10592.0,5222.0,5370.0,10557.0,35.0,64.0,385.4,27.5
1393,CT16 3,Total,5584.0,2708.0,2876.0,5409.0,175.0,73.0,982.59,5.7
1394,CT17 0,Total,12301.0,6114.0,6187.0,12153.0,148.0,99.0,549.0,22.4
1395,CT17 9,Total,9785.0,4972.0,4813.0,9490.0,295.0,90.0,709.27,13.8
1396,CT18 7,Total,10823.0,5315.0,5508.0,10782.0,41.0,112.0,1864.22,5.8
1397,CT18 8,Total,3086.0,1476.0,1610.0,3065.0,21.0,53.0,2427.69,1.3
1398,CT19 4,Total,9199.0,4426.0,4773.0,9199.0,0.0,58.0,395.24,23.3
1399,CT19 5,Total,10233.0,5055.0,5178.0,10092.0,141.0,100.0,249.46,41.0
1400,CT19 6,Total,9435.0,4520.0,4915.0,9434.0,1.0,65.0,411.74,22.9
1401,CT2  0,Total,5883.0,2818.0,3065.0,5746.0,137.0,74.0,1020.23,5.8
1402,CT2  7,Total,13510.0,6570.0,6940.0,9599.0,3911.0,208.0,482.56,28.0
1403,CT2  8,Total,7567.0,3552.0,4015.0,7430.0,137.0,101.0,183.1,41.3
1404,CT2  9,Total,3758.0,1809.0,1949.0,3550.0,208.0,113.0,1578.47,2.4
1405,CT20 1,Total,7046.0,3913.0,3133.0,6948.0,98.0,35.0,77.61,90.8
1406,CT20 2,Total,7545.0,3741.0,3804.0,7141.0,404.0,60.0,182.79,41.3
1407,CT20 3,Total,7879.0,4037.0,3842.0,7573.0,306.0,87.0,299.83,26.3
1408,CT21 4,Total,4377.0,2087.0,2290.0,4310.0,67.0,93.0,3086.35,1.4
1409,CT21 5,Total,6446.0,3008.0,3438.0,6160.0,286.0,73.0,505.15,12.8
1410,CT21 6,Total,6324.0,2965.0,3359.0,6311.0,13.0,47.0,263.33,24.0
1411,CT3  1,Total,5858.0,2805.0,3053.0,5772.0,86.0,146.0,5584.02,1.0
1412,CT3  2,Total,3365.0,1662.0,1703.0,3291.0,74.0,34.0,2837.0,1.2
1413,CT3  3,Total,4438.0,2144.0,2294.0,4429.0,9.0,32.0,1377.72,3.2
1414,CT3  4,Total,3623.0,1798.0,1825.0,3540.0,83.0,37.0,4486.44,0.8
1415,CT4  5,Total,4171.0,1970.0,2201.0,4068.0,103.0,119.0,5166.82,0.8
1416,CT4  6,Total,5127.0,2512.0,2615.0,5030.0,97.0,121.0,9018.42,0.6
1417,CT4  7,Total,5455.0,2671.0,2784.0,5445.0,10.0,82.0,4926.58,1.1
1418,CT4  8,Total,1880.0,915.0,965.0,1868.0,12.0,35.0,2424.44,0.8
1419,CT5  1,Total,7536.0,3592.0,3944.0,7491.0,45.0,75.0,214.05,35.2
1420,CT5  2,Total,8245.0,3849.0,4396.0,8157.0,88.0,112.0,254.91,32.3
1421,CT5  3,Total,6778.0,3267.0,3511.0,6744.0,34.0,98.0,2450.22,2.8
1422,CT5  4,Total,10509.0,4991.0,5518.0,10398.0,111.0,87.0,938.58,11.2
1423,CT6  5,Total,7481.0,3587.0,3894.0,7308.0,173.0,70.0,195.66,38.2
1424,CT6  6,Total,9818.0,4616.0,5202.0,9446.0,372.0,95.0,935.21,10.5
1425,CT6  7,Total,12628.0,6193.0,6435.0,12517.0,111.0,120.0,1735.1,7.3
1426,CT6  8,Total,8636.0,4111.0,4525.0,8467.0,169.0,55.0,240.03,36.0
1427,CT7  0,Total,4045.0,1959.0,2086.0,4039.0,6.0,33.0,2214.67,1.8
1428,CT7  9,Total,7414.0,3399.0,4015.0,7323.0,91.0,82.0,525.43,14.1
1429,CT8  8,Total,7338.0,3432.0,3906.0,7010.0,328.0,54.0,221.76,33.1
1430,CT9  1,Total,6759.0,3443.0,3316.0,6589.0,170.0,42.0,99.97,67.6
1431,CT9  2,Total,10779.0,5312.0,5467.0,10353.0,426.0,83.0,136.73,78.8
1432,CT9  3,Total,11077.0,5224.0,5853.0,11035.0,42.0,87.0,333.16,33.2
1433,CT9  4,Total,3862.0,1824.0,2038.0,3766.0,96.0,19.0,817.89,4.7
1434,CT9  5,Total,10977.0,5383.0,5594.0,10908.0,69.0,110.0,390.29,28.1
1435,CV1  1,Total,437.0,259.0,178.0,257.0,180.0,7.0,23.46,18.6
1436,CV1  2,Total,6764.0,3758.0,3006.0,6225.0,539.0,76.0,142.78,47.4
1437,CV1  3,Total,5001.0,2823.0,2178.0,4241.0,760.0,62.0,66.78,74.9
1438,CV1  4,Total,8165.0,4369.0,3796.0,7939.0,226.0,79.0,148.62,54.9
1439,CV1  5,Total,10814.0,5769.0,5045.0,8523.0,2291.0,128.0,134.38,80.5
1440,CV10 0,Total,12587.0,6102.0,6485.0,12519.0,68.0,112.0,2668.29,4.7
1441,CV10 7,Total,11078.0,5423.0,5655.0,10997.0,81.0,87.0,1455.15,7.6
1442,CV10 8,Total,11974.0,5914.0,6060.0,11969.0,5.0,71.0,305.05,39.3
1443,CV10 9,Total,14244.0,7027.0,7217.0,14198.0,46.0,114.0,1040.38,13.7
1444,CV11 4,Total,12061.0,5845.0,6216.0,11920.0,141.0,121.0,410.82,29.4
1445,CV11 5,Total,11114.0,5570.0,5544.0,11034.0,80.0,92.0,208.91,53.2
1446,CV11 6,Total,16253.0,8151.0,8102.0,15871.0,382.0,355.0,2340.48,6.9
1447,CV12 0,Total,9099.0,4431.0,4668.0,9050.0,49.0,91.0,645.17,14.1
1448,CV12 8,Total,10682.0,5243.0,5439.0,10571.0,111.0,73.0,276.22,38.7
1449,CV12 9,Total,11825.0,5768.0,6057.0,11807.0,18.0,91.0,1551.36,7.6
1450,CV13 0,Total,6402.0,3165.0,3237.0,6341.0,61.0,133.0,5605.88,1.1
1451,CV13 6,Total,4312.0,2177.0,2135.0,4164.0,148.0,80.0,5590.53,0.8
1452,CV2  1,Total,12001.0,5737.0,6264.0,11926.0,75.0,63.0,346.9,34.6
1453,CV2  2,Total,12524.0,6018.0,6506.0,12438.0,86.0,144.0,542.51,23.1
1454,CV2  3,Total,13010.0,6395.0,6615.0,12980.0,30.0,87.0,237.43,54.8
1455,CV2  4,Total,13683.0,7097.0,6586.0,13590.0,93.0,131.0,189.39,72.2
1456,CV2  5,Total,11988.0,5824.0,6164.0,11942.0,46.0,130.0,229.17,52.3
1457,CV21 1,Total,9843.0,4856.0,4987.0,9829.0,14.0,110.0,539.11,18.3
1458,CV21 2,Total,7990.0,4104.0,3886.0,7913.0,77.0,59.0,178.51,44.8
1459,CV21 3,Total,10227.0,5230.0,4997.0,10115.0,112.0,154.0,289.63,35.3
1460,CV21 4,Total,7530.0,3783.0,3747.0,7470.0,60.0,74.0,431.85,17.4
1461,CV22 5,Total,9369.0,4682.0,4687.0,8724.0,645.0,167.0,744.11,12.6
1462,CV22 6,Total,10470.0,5041.0,5429.0,10237.0,233.0,167.0,442.58,23.7
1463,CV22 7,Total,15494.0,7561.0,7933.0,15324.0,170.0,223.0,1681.08,9.2
1464,CV23 0,Total,9612.0,4799.0,4813.0,9413.0,199.0,140.0,10135.28,0.9
1465,CV23 8,Total,5613.0,3281.0,2332.0,4496.0,1117.0,101.0,9105.78,0.6
1466,CV23 9,Total,6611.0,3284.0,3327.0,6557.0,54.0,123.0,5753.19,1.1
1467,CV3  1,Total,8880.0,4435.0,4445.0,8775.0,105.0,73.0,244.35,36.3
1468,CV3  2,Total,16357.0,8049.0,8308.0,16217.0,140.0,190.0,702.43,23.3
1469,CV3  3,Total,7874.0,3916.0,3958.0,7836.0,38.0,36.0,173.53,45.4
1470,CV3  4,Total,4249.0,2097.0,2152.0,4135.0,114.0,25.0,349.35,12.2
1471,CV3  5,Total,13479.0,6591.0,6888.0,13419.0,60.0,194.0,301.77,44.7
1472,CV3  6,Total,12484.0,6140.0,6344.0,12468.0,16.0,264.0,339.42,36.8
1473,CV31 1,Total,12171.0,6178.0,5993.0,12030.0,141.0,130.0,1065.37,11.4
1474,CV31 2,Total,12287.0,6231.0,6056.0,12235.0,52.0,152.0,507.53,24.2
1475,CV31 3,Total,7072.0,3790.0,3282.0,6895.0,177.0,61.0,168.72,41.9
1476,CV32 4,Total,3149.0,1593.0,1556.0,3128.0,21.0,39.0,320.53,9.8
1477,CV32 5,Total,8230.0,4205.0,4025.0,7912.0,318.0,117.0,155.56,52.9
1478,CV32 6,Total,7490.0,3667.0,3823.0,7294.0,196.0,153.0,673.53,11.1
1479,CV32 7,Total,13827.0,6728.0,7099.0,13712.0,115.0,177.0,1045.98,13.2
1480,CV33 9,Total,6103.0,3000.0,3103.0,6087.0,16.0,105.0,7039.72,0.9
1481,CV34 4,Total,4831.0,2386.0,2445.0,4724.0,107.0,48.0,216.83,22.3
1482,CV34 5,Total,14218.0,7120.0,7098.0,14110.0,108.0,161.0,551.36,25.8
1483,CV34 6,Total,12296.0,6047.0,6249.0,12284.0,12.0,226.0,1422.06,8.6
1484,CV35 0,Total,5786.0,2822.0,2964.0,5678.0,108.0,146.0,8660.19,0.7
1485,CV35 7,Total,5310.0,2631.0,2679.0,5297.0,13.0,140.0,5306.83,1.0
1486,CV35 8,Total,5676.0,2747.0,2929.0,5676.0,0.0,153.0,4269.16,1.3
1487,CV35 9,Total,7837.0,3746.0,4091.0,7633.0,204.0,157.0,5935.15,1.3
1488,CV36 4,Total,6496.0,3095.0,3401.0,6450.0,46.0,113.0,2999.17,2.2
1489,CV36 5,Total,2790.0,1362.0,1428.0,2785.0,5.0,75.0,7796.51,0.4
1490,CV37 0,Total,6733.0,3313.0,3420.0,6628.0,105.0,104.0,5122.64,1.3
1491,CV37 6,Total,6679.0,3111.0,3568.0,6506.0,173.0,86.0,263.93,25.3
1492,CV37 7,Total,8658.0,4202.0,4456.0,8551.0,107.0,209.0,3151.95,2.7
1493,CV37 8,Total,6969.0,3415.0,3554.0,6925.0,44.0,182.0,10952.52,0.6
1494,CV37 9,Total,11959.0,5804.0,6155.0,11775.0,184.0,177.0,3204.74,3.7
1495,CV4  7,Total,8878.0,4507.0,4371.0,4238.0,4640.0,205.0,591.61,15.0
1496,CV4  8,Total,8015.0,3992.0,4023.0,7542.0,473.0,114.0,796.73,10.1
1497,CV4  9,Total,16477.0,8007.0,8470.0,16318.0,159.0,120.0,490.07,33.6
1498,CV47 0,Total,2213.0,1044.0,1169.0,2213.0,0.0,19.0,128.64,17.2
1499,CV47 1,Total,4354.0,2162.0,2192.0,4278.0,76.0,81.0,1133.25,3.8
1500,CV47 2,Total,5145.0,2596.0,2549.0,5035.0,110.0,72.0,9035.13,0.6
1501,CV47 7,Total,751.0,368.0,383.0,751.0,0.0,22.0,2067.8,0.4
1502,CV47 8,Total,2491.0,1260.0,1231.0,2491.0,0.0,60.0,3057.28,0.8
1503,CV47 9,Total,2013.0,966.0,1047.0,1988.0,25.0,39.0,1315.74,1.5
1504,CV5  6,Total,11915.0,6032.0,5883.0,11769.0,146.0,243.0,310.24,38.4
1505,CV5  7,Total,11931.0,5891.0,6040.0,11900.0,31.0,146.0,303.88,39.3
1506,CV5  8,Total,12346.0,6185.0,6161.0,12299.0,47.0,111.0,244.26,50.5
1507,CV5  9,Total,9776.0,4706.0,5070.0,9650.0,126.0,125.0,1485.54,6.6
1508,CV6  1,Total,13817.0,6600.0,7217.0,13781.0,36.0,151.0,233.55,59.2
1509,CV6  2,Total,12131.0,5918.0,6213.0,12057.0,74.0,125.0,385.94,31.4
1510,CV6  3,Total,10834.0,5182.0,5652.0,10729.0,105.0,75.0,151.03,71.7
1511,CV6  4,Total,13098.0,6404.0,6694.0,13083.0,15.0,111.0,277.02,47.3
1512,CV6  5,Total,13469.0,6853.0,6616.0,13387.0,82.0,95.0,247.67,54.4
1513,CV6  6,Total,10696.0,5316.0,5380.0,10641.0,55.0,98.0,403.17,26.5
1514,CV6  7,Total,12477.0,6095.0,6382.0,12454.0,23.0,96.0,262.59,47.5
1515,CV7  7,Total,10748.0,5275.0,5473.0,10703.0,45.0,247.0,5498.0,2.0
1516,CV7  8,Total,8542.0,4244.0,4298.0,8396.0,146.0,74.0,4912.25,1.7
1517,CV7  9,Total,8788.0,4272.0,4516.0,8594.0,194.0,97.0,2923.05,3.0
1518,CV8  1,Total,11021.0,5409.0,5612.0,10977.0,44.0,256.0,3818.41,2.9
1519,CV8  2,Total,13239.0,6482.0,6757.0,13157.0,82.0,308.0,1950.51,6.8
1520,CV8  3,Total,6771.0,3357.0,3414.0,6726.0,45.0,121.0,5220.89,1.3
1521,CV9  1,Total,5796.0,2853.0,2943.0,5760.0,36.0,48.0,417.62,13.9
1522,CV9  2,Total,8988.0,4467.0,4521.0,8936.0,52.0,80.0,3808.23,2.4
1523,CV9  3,Total,6420.0,3133.0,3287.0,6390.0,30.0,110.0,6493.87,1.0
1524,CW1  2,Total,1508.0,777.0,731.0,1508.0,0.0,9.0,80.88,18.6
1525,CW1  3,Total,17346.0,8534.0,8812.0,17209.0,137.0,117.0,400.93,43.3
1526,CW1  4,Total,11655.0,5766.0,5889.0,11529.0,126.0,73.0,1790.05,6.5
1527,CW1  5,Total,10723.0,5233.0,5490.0,9746.0,977.0,191.0,2092.73,5.1
1528,CW1  6,Total,1147.0,560.0,587.0,1140.0,7.0,5.0,135.67,8.5
1529,CW10 0,Total,7597.0,3743.0,3854.0,7555.0,42.0,79.0,1013.08,7.5
1530,CW10 9,Total,6764.0,3356.0,3408.0,6701.0,63.0,85.0,2502.85,2.7
1531,CW11 1,Total,7236.0,3513.0,3723.0,7169.0,67.0,144.0,2834.98,2.6
1532,CW11 2,Total,1889.0,898.0,991.0,1858.0,31.0,38.0,1232.89,1.5
1533,CW11 3,Total,7181.0,3571.0,3610.0,7134.0,47.0,117.0,2467.63,2.9
1534,CW11 4,Total,6309.0,3100.0,3209.0,6305.0,4.0,118.0,2013.69,3.1
1535,CW12 1,Total,3872.0,1960.0,1912.0,3768.0,104.0,33.0,157.58,24.6
1536,CW12 2,Total,4934.0,2424.0,2510.0,4926.0,8.0,68.0,3447.26,1.4
1537,CW12 3,Total,10059.0,4970.0,5089.0,9939.0,120.0,153.0,1667.68,6.0
1538,CW12 4,Total,10360.0,5046.0,5314.0,10251.0,109.0,150.0,2777.83,3.7
1539,CW2  5,Total,8061.0,3992.0,4069.0,8037.0,24.0,84.0,3494.04,2.3
1540,CW2  6,Total,10648.0,5370.0,5278.0,10575.0,73.0,144.0,435.98,24.4
1541,CW2  7,Total,9284.0,4732.0,4552.0,9231.0,53.0,65.0,210.31,44.1
1542,CW2  8,Total,13127.0,6416.0,6711.0,13107.0,20.0,104.0,856.0,15.3
1543,CW3  0,Total,2755.0,1334.0,1421.0,2671.0,84.0,34.0,2444.34,1.1
1544,CW3  9,Total,6324.0,3087.0,3237.0,6284.0,40.0,132.0,4426.71,1.4
1545,CW4  7,Total,5823.0,2820.0,3003.0,5794.0,29.0,149.0,1468.35,4.0
1546,CW4  8,Total,3555.0,1769.0,1786.0,3544.0,11.0,86.0,2325.57,1.5
1547,CW5  5,Total,7751.0,3744.0,4007.0,7675.0,76.0,59.0,211.84,36.6
1548,CW5  6,Total,7412.0,3571.0,3841.0,7110.0,302.0,129.0,4438.84,1.7
1549,CW5  7,Total,9654.0,4733.0,4921.0,9562.0,92.0,153.0,4959.76,1.9
1550,CW5  8,Total,4464.0,2225.0,2239.0,4411.0,53.0,110.0,8769.92,0.5
1551,CW6  0,Total,7005.0,3380.0,3625.0,6876.0,129.0,154.0,4344.71,1.6
1552,CW6  9,Total,5155.0,2542.0,2613.0,5153.0,2.0,170.0,8634.86,0.6
1553,CW7  1,Total,9340.0,4495.0,4845.0,9198.0,142.0,90.0,358.57,26.0
1554,CW7  2,Total,10816.0,5289.0,5527.0,10816.0,0.0,120.0,1363.13,7.9
1555,CW7  3,Total,9459.0,4580.0,4879.0,9344.0,115.0,70.0,862.98,11.0
1556,CW7  4,Total,1839.0,886.0,953.0,1835.0,4.0,32.0,2667.12,0.7
1557,CW8  1,Total,8686.0,4243.0,4443.0,8664.0,22.0,156.0,494.25,17.6
1558,CW8  2,Total,9087.0,4470.0,4617.0,8974.0,113.0,202.0,5904.75,1.5
1559,CW8  3,Total,7139.0,3472.0,3667.0,7105.0,34.0,97.0,865.48,8.2
1560,CW8  4,Total,10378.0,5074.0,5304.0,10352.0,26.0,110.0,1279.52,8.1
1561,CW9  5,Total,3371.0,1653.0,1718.0,3246.0,125.0,20.0,172.18,19.6
1562,CW9  6,Total,5661.0,2851.0,2810.0,5661.0,0.0,130.0,4716.99,1.2
1563,CW9  7,Total,10771.0,5405.0,5366.0,10639.0,132.0,71.0,2042.88,5.3
1564,CW9  8,Total,13344.0,6590.0,6754.0,13279.0,65.0,240.0,1353.33,9.9
1565,DA1  1,Total,9614.0,4840.0,4774.0,9611.0,3.0,89.0,270.05,35.6
1566,DA1  2,Total,11763.0,5758.0,6005.0,11731.0,32.0,130.0,285.64,41.2
1567,DA1  3,Total,12006.0,5933.0,6073.0,11979.0,27.0,188.0,378.8,31.7
1568,DA1  4,Total,8370.0,4050.0,4320.0,8349.0,21.0,70.0,291.09,28.8
1569,DA1  5,Total,10934.0,5350.0,5584.0,10910.0,24.0,59.0,742.97,14.7
1570,DA10 0,Total,6746.0,3348.0,3398.0,6738.0,8.0,45.0,385.83,17.5
1571,DA11 0,Total,8909.0,4556.0,4353.0,8720.0,189.0,100.0,124.2,71.7
1572,DA11 7,Total,9009.0,4361.0,4648.0,8971.0,38.0,94.0,232.54,38.7
1573,DA11 8,Total,10962.0,5328.0,5634.0,10803.0,159.0,78.0,326.18,33.6
1574,DA11 9,Total,9179.0,4580.0,4599.0,9119.0,60.0,58.0,350.98,26.2
1575,DA12 1,Total,6711.0,3454.0,3257.0,6584.0,127.0,77.0,124.5,53.9
1576,DA12 2,Total,8904.0,4509.0,4395.0,8903.0,1.0,68.0,521.6,17.1
1577,DA12 3,Total,2356.0,1136.0,1220.0,2282.0,74.0,34.0,2346.37,1.0
1578,DA12 4,Total,14437.0,7045.0,7392.0,14437.0,0.0,142.0,444.3,32.5
1579,DA12 5,Total,14984.0,7227.0,7757.0,14934.0,50.0,148.0,279.09,53.7
1580,DA13 0,Total,9007.0,4394.0,4613.0,8978.0,29.0,151.0,2899.96,3.1
1581,DA13 9,Total,5442.0,2672.0,2770.0,5392.0,50.0,89.0,1887.59,2.9
1582,DA14 4,Total,9774.0,4629.0,5145.0,9759.0,15.0,113.0,246.84,39.6
1583,DA14 5,Total,4193.0,1978.0,2215.0,4174.0,19.0,29.0,603.69,6.9
1584,DA14 6,Total,7216.0,3213.0,4003.0,7091.0,125.0,66.0,202.2,35.7
1585,DA15 7,Total,5408.0,2619.0,2789.0,5115.0,293.0,72.0,101.52,53.3
1586,DA15 8,Total,14900.0,7196.0,7704.0,14783.0,117.0,136.0,251.13,59.3
1587,DA15 9,Total,9119.0,4440.0,4679.0,9119.0,0.0,118.0,239.94,38.0
1588,DA16 1,Total,12574.0,6086.0,6488.0,12574.0,0.0,132.0,172.8,72.8
1589,DA16 2,Total,14284.0,6906.0,7378.0,14284.0,0.0,181.0,245.72,58.1
1590,DA16 3,Total,9054.0,4348.0,4706.0,8991.0,63.0,80.0,188.84,47.9
1591,DA17 5,Total,10470.0,5054.0,5416.0,10457.0,13.0,96.0,169.28,61.9
1592,DA17 6,Total,6634.0,3169.0,3465.0,6634.0,0.0,55.0,305.52,21.7
1593,DA18 4,Total,4939.0,2397.0,2542.0,4925.0,14.0,68.0,278.86,17.7
